Desagotes
Limpieza de Obra
Transportes internos
Vigilancia de Obras, etc.
Demolición
Andamios y protecciones
Implantación
Maquinaria y herramientas
Excavaciones
Rellenos (incluso compactación)
Protección de excavaciones
Alejamiento de tierras
"Encofrado, apuntalamiento y desencofrado"
Hierro
Llenado HORMIGON
ELEVACIÓN DE MUROS
REVOQUES INTERIOR
REVOQUES EXTERIOR
PINTURA
Contrapisos
Revestimiento de pisos
Zócalos
Escaleras y replanes
Umbrales y antepechos
Veredas
Impermeabilización de muros
Impermeabilización de azotea
Juntas de dilatación
REVESTIMIENTOS Y AMURES
AYUDAS A SUBCONTRATISTAS
"Sendas, cordonetas, etc."
Varios
PINTURA
HERRERIA
YESO
RETRABAJOS
