D116,Encofrado hormigón visto especial,,"Encofrado, apuntalamiento y desencofrado",TRUE,TRUE,TRUE,TRUE
D117,Encofrado de platea de fundación,,"Encofrado, apuntalamiento y desencofrado",TRUE,TRUE,TRUE,TRUE
D118,Encofrado hormigón visto,,"Encofrado, apuntalamiento y desencofrado",TRUE,TRUE,TRUE,TRUE
D119,Encofrado carreras sobre muro,,"Encofrado, apuntalamiento y desencofrado",TRUE,TRUE,TRUE,TRUE
D201,Hierro bases,,Hierro,TRUE,TRUE,TRUE,TRUE
D202,Hierro vigas y riostras de fundación,,Hierro,TRUE,TRUE,TRUE,TRUE
D203,Hierro vigas y pretiles,,Hierro,TRUE,TRUE,TRUE,TRUE
D204,Hierro pilares de fundación,,Hierro,TRUE,TRUE,TRUE,TRUE
D205,Hierro pilares y pantallas,,Hierro,TRUE,TRUE,TRUE,TRUE
D206,Hierro losas,,Hierro,TRUE,TRUE,TRUE,TRUE
D207,Hierro plateas de fundación,,Hierro,TRUE,TRUE,TRUE,TRUE
D208,Hierro muro de contención,,Hierro,TRUE,TRUE,TRUE,TRUE
D209,Hierro tanque de agua,,Hierro,TRUE,TRUE,TRUE,TRUE
D210 ,Hierro carreras sobre muro,,Hierro,TRUE,TRUE,TRUE,TRUE
D211,Hierro piso armado,,Hierro,TRUE,TRUE,TRUE,TRUE
D212,Hierro antepechos,,Hierro,TRUE,TRUE,TRUE,TRUE
D213,Hierro hormigón visto ,,Hierro,TRUE,TRUE,TRUE,TRUE
D214,Colocación de perfiles metálicos,,Hierro,TRUE,TRUE,TRUE,TRUE
D31,Ciclópeo para dados,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D 311,Ciclópeo para muro de contención,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D312,Ciclópeo para recimentación,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D32,De patines,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D33,De cabezales de pilotes- hormigon,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D34,De muros de contención,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D351,De pilares de fundación,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D352,De pilares y pantallas,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D36,De vigas de fundación,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D37,De vigas rectangulares aisladas,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D38,"De losas macizas, incluso vigas",,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D381,"De losas de escaleras, incluso vigas",,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D39,De tanques de agua,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D317,Senda peatonal,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D318,De carreras sobre muro,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D319,De plateas de fundación,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D320,Hormigón visto,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D321,Horm. pronto piso armado 10 cm,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
D322,Junta pavimento con SIKAFLEX 1A,,Llenado HORMIGON,TRUE,TRUE,TRUE,TRUE
E11,Muro de ladrillo para revocar,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E12,Muro de ladrillo bolseado,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E13,Muro de ladrillo visto,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E131,Muretes y bancos de ladrillo visto,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E132,Pintado de ladrillo visto con silicona,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E21,Muro de ticholo para revoque,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E22,Muro de ticholo visto,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E31,Muro de bloque para revoque,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E32,Muro de bloque visto,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E41,Muro de ladrillo de vidrio,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E51,"Tabique de yeso placa común, cementicia, verde, roja, etc.",,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
E52,Aplacado de yeso,,ELEVACIÓN DE MUROS,TRUE,TRUE,TRUE,TRUE
F12,Revoque grueso en muros,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F121,Revoque grueso en techos,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F13,Revoque grueso fretachado en muros,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F131,Revoque grueso fretachado en techos,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F14,Revoque fino en muros,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F141,Revoque fino en techos,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F15,Balai en muros,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F151,Balai en techos,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F16,Lustrado arena y portland en muros,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F161,Lustrado arena y portland en tanque de agua,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F18,Pasada de bolsa,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F19,Terminaciones hormigón visto ,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F20,Revoque seco con aplacado de placas de yeso,,REVOQUES INTERIOR,TRUE,TRUE,TRUE,TRUE
F22,Revoque grueso en muros,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F221,Revoque grueso en techos,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F23,Revoque grueso fretachado en muros,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F231,Revoque grueso fretachado en techos,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F24,Revoque fino en muros,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F241,Revoque fino en techos,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F25,Balai en muros,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F251,Balai en techos,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F27,Revoque imitación,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F28,Revoque mocheta,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F31,Revoque a la zaranda,,REVOQUES EXTERIOR,TRUE,TRUE,TRUE,TRUE
F32,Enduido en tabiques interiores,,PINTURA,TRUE,TRUE,TRUE,TRUE
F33,Enduido en tabiques exteriores,,PINTURA,TRUE,TRUE,TRUE,TRUE
F34,Enduido en cielorrasos y cenefas interiores,,PINTURA,TRUE,TRUE,TRUE,TRUE
F35,Enduido en cielorrasos y  cenefas exteriores,,PINTURA,TRUE,TRUE,TRUE,TRUE
G11,De hormigón de cascote o balasto sobre tierra,,Contrapisos,TRUE,TRUE,TRUE,TRUE
G12,De hormigón de cascote o balasto sobre losa,,Contrapisos,TRUE,TRUE,TRUE,TRUE
G13,De hormigón simple,,Contrapisos,TRUE,TRUE,TRUE,TRUE
G14,De hormigón armado,,Contrapisos,TRUE,TRUE,TRUE,TRUE
G15,Alisado de arena y portland,,Contrapisos,TRUE,TRUE,TRUE,TRUE
G16,"Alisado de arena y portland para parquet pegado, vinílico o pisos de plástico",,Contrapisos,TRUE,TRUE,TRUE,TRUE
G18,Empalomado de ladrillo,,Contrapisos,TRUE,TRUE,TRUE,TRUE
G112,Contrapiso de Placares,,Contrapisos,TRUE,TRUE,TRUE,TRUE
G21,De arena y portland ,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
G22,De baldosa de portland,,Revestimiento de pisos,TRUE,TRUE,TRUE,TRUE
